SOURCE_KEY	NAME	DESIGNATION	RA	DEC	DISCOVERY_REFERENCE	OPT_TYPE	OPTICAL_REFERENCE	NIR_TYPE	NIR_REFERENCE	LIT_TYPE	LUMINOSITY_CLASS	METALLICITY_CLASS	OBJECT_TYPE	2MASS_J	2MASS_J_UNC	2MASS_H	2MASS_H_UNC	2MASS_KS	2MASS_KS_UNC	PARALLAX	PARALLAX_E	MU_RA	MU_RA_E	MU_DEC	MU_DEC_E	GRAVITY_CLASS_CRUZ	GRAVITY_CLASS_ALLERS	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	SBINARY	COMPANION	COMPANION_NAME	NOTE
10026	2MASSI J0013578-223520	J00135779-2235200	3.4907918	-22.58889	2003AandA...403..929K	L4	2003AandA...403..929K			L4			VLM	15.775	0.065	14.595	0.062	14.036	0.051																
10027	WISE J001450.14-083823.1	J00145014-083823.1	3.7089167	-8.6397219	2014ApJ...781....4L			sdM9	2014ApJ...787..126L	sdM9		sd	VLM	14.47	0.03	13.95	0.03	13.77	0.04											subdwarf					
10028	2MASS J00145575-4844171	J00145575-4844171	3.7322917	-48.738083	2008ApJ...689.1295K	L2.5pec	2008ApJ...689.1295K			L2.5pec			VLM	14.05	0.035	13.107	0.036	12.723	0.03																
10029	2MASS J00150206+2959323	J00150206+2959323	3.7585835	29.992306	2010ApJS..190..100K	L7	2010ApJS..190..100K	L7.5pec	2010ApJS..190..100K	L7			VLM	16.158	0.081	15.226	0.084	14.482	0.073											blue					
10030	2MASSW J0015447+351603	J00154476+3516026	3.9364998	35.267387	2000AJ....120..447K	L2	2000AJ....120..447K			L2			VLM	13.878	0.03	12.892	0.036	12.264	0.024																
10031	SDSS J001608.44-004302.3	J00160843-00430209	4.0351253	-0.71722221	2004AJ....127.3553K			L5.5	2004AJ....127.3553K	L5.5			VLM	16.326	0.116	15.229	0.112	14.541	0.09																
10032	2MASS J00163761+3448368	J00163761+3448368	4.1567087	34.810223	2010ApJS..190..100K			M8.5	2010ApJS..190..100K	M8.5			VLM	14.784	0.036	14.157	0.043	13.783	0.037																
10033	SDSS J001637.62-103911.2	J00163762-1039112	4.1567502	-10.653111	2008AJ....135..785W	L0	2008AJ....135..785W			L0			VLM	15.455	0.052	14.78	0.069	14.533	0.096																
10034	2MASS J00165953-4056541	J00165953-4056541	4.2480421	-40.94836	2008ApJ...689.1295K	L3.5	2008ApJ...689.1295K			L3.5			VLM	15.316	0.061	14.206	0.048	13.432	0.038																
10035	LSPM J0018+2853	J00180652+2853259	4.5271668	28.890528				sdM6	BUR-NP	sdM6		sd	VLM	16.195	0.084	15.623	0.11	15.492	0.195											subdwarf					
10036	SDSS J001911.65+003017.8	J00191165+0030176	4.7985415	0.50488889	2002AJ....123.3409H	L1	2002AJ....123.3409H			L1			VLM	14.921	0.037	14.18	0.041	13.568	0.034																
10037	2MASS J00193927-3724392	J00193927-3724392	4.9136248	-37.410889	2008AJ....136.1290R	L3:		L3: beta	2015ApJS..219...33G	L3:			VLM	15.519	0.06	14.47	0.04	13.689	0.058							beta	INT-G	Argus	2015ApJS..219...33G	young					
10038	2MASS J0019457+521317	J0019457+521317	4.9404168	52.22139	2003AJ....126.2421C	M9	2003AJ....126.2421C			M9			VLM	12.792	0.023	12.072	0.024	11.622	0.019																
10039	DENIS-P J0020.9-4414	J00205982-4414340	5.2492504	-44.242779	1998AandA...338.1066T	M8V	1998AandA...338.1066T			M8V			VLM	14.9	0.039	14.2	0.041	13.714	0.055																
10040	LEHPM 1-494B	J00210589-4244433	5.2745419	-42.745361	1998AandA...338.1066T	M9.5	2000ApJ...538..363B			M9.5			VLM	13.521	0.025	12.809	0.025	12.304	0.025											companion			Y	LEHPM 1-494A	
10041	SDSS J00220934-0110397	J00220934-0110397	5.5389166	-1.1776944	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0			VLM	15.82	0.07	15.09	0.08	14.7	0.1											young					young?
10042	2MASS J00234750-3239250	J00234750-3239250	5.9479165	-32.656944		M7				M7			VLM	12.619	0.022	11.961	0.024	11.632	0.023																
10043	BRI 0021-0214	J00242514-0158166	6.1047502	-1.9712778	IRW91B	M9.5	2007AJ....133..439C			M9.5			VLM	11.992	0.035	11.084	0.022	10.539	0.023																
10044	2MASS J00250365+4759191AB	J00250365+4759191	6.2652078	47.98864	2007AJ....133..439C	L4:	2007AJ....133..439C			L4:			VLM	14.84	0.038	13.667	0.031	12.902	0.057											binary companion	Y		Y	HD 2057	"binary: a=0.33 at -126.9 deg (Reid et al. 2006).  This object shares a common proper motion with HD 2057, which is 3.6 arcmin away. (Cruz et al. 2006)"
10045	LHS 1074	J00255117-0748069	6.4632082	-7.8019171		sdM6	2005PASP..117..676R			sdM6		sd	VLM	14.684	0.043	14.231	0.042	13.879	0.058											subdwarf					
10046	LHS 1075	J0026004-191851	6.5016665	-19.314165		dC				dC			CARBON	12.54	0.024	11.918	0.026	11.587	0.027																
10047	2MASS J00264045+0632151	J00264045+0632159	6.6685414	6.5377498	SKR-NP	L1	SKR-NP			L1			VLM	14.572	0.033	13.752	0.035	13.22	0.038																
10048	LEHPM 1-606	J00271049-1813083	6.7937083	-18.218973	2004AandA...421..763P			M8	BUR-NP	M8			VLM	13.448	0.022	12.847	0.025	12.427	0.025																
10049	PC 0025+04	J00274197+0503417	6.9248748	5.0615835		M9.5	1995AJ....109..797K	L0	2010ApJ...715..561A	M9.5			VLM	16.189	0.093	15.288	0.099	14.964	0.116								INT-G			young					
10050	LP 349-25A	J0027559+221932	6.9829168	22.325556		M8:	2000AJ....120.1085G			M8:			VLM	10.614	0.022	9.967	0.023	9.569	0.017																
10051	2MASS J0028208+224905	J0028208+224905	7.0866666	22.818056	2008AJ....136.1290R			L5 beta	2015ApJS..219...33G	L5 beta			VLM	15.607	0.072	14.468	0.053	13.781	0.063							beta	INT-G			young					
10052	2MASSI J0028394+150141	J00283943+1501418	7.1642914	15.028277	2000AJ....120..447K	L4.5	2000AJ....120..447K	L3	2004AJ....127.3553K	L4.5			VLM	16.507	0.109	15.256	0.088	14.556	0.074																
10053	2MASS J00285545-1927165	J00285545-1927165	7.2310414	-19.454584	2008AJ....136.1290R	L0:	2008AJ....136.1290R			L0:			VLM	14.191	0.029	13.331	0.03	12.845	0.03																
10054	2MASSW J0030300-145033	J00303013-1450333	7.6255417	-14.842583	2000AJ....120..447K	L7	2000AJ....120..447K	L5 beta	2015ApJS..219...33G	L7			VLM	16.278	0.111	15.273	0.1	14.481	0.1							beta	INT-G	Argus	2015ApJS..219...33G	young					
10055	2MASSW J0030438+313932	J00304384+3139321	7.6826663	31.658916	1999ApJ...519..802K	L2	1999ApJ...519..802K			L2			VLM	15.48	0.054	14.617	0.057	14.027	0.048																
10056	WISE J003110.04+574936.3	J00311004+5749363	7.7918334	57.826748	2013PASP..125..809T			L8	2013PASP..125..809T	L8			VLM	14.95	0.04	13.78	0.04	13.22	0.03																
10057	SIPS J0031-3840	J00311925-3840356	7.8302083	-38.676556	2005AandA...435..363D	L2.5	2010AandA...517A..53M	L2	2005AandA...435..363D	L2.5			VLM	14.101	0.032	13.399	0.023	12.924	0.034											blue					
10058	2MASS J00320509+0219017	J00320509+0219017	8.0212088	2.3171389	2008AJ....136.1290R	L1.5	2008AJ....136.1290R	M9	2003IAUS..211..197W	L1.5			VLM	14.324	0.026	13.386	0.024	12.802	0.032																
10059	2MASSI J0032431-223727	J00324308-2237272	8.1795006	-22.624222	2003AandA...403..929K	L1	2003AandA...403..929K			L1			VLM	15.388	0.049	14.512	0.047	13.962	0.051																
10060	EROS-MP J0032-4405	J00325584-4405058	8.232667	-44.084942	1999AandA...351L...5E	L0gamma	2009AJ....137.3345C	L0 vlg	2010ApJ...715..561A	L0gamma			VLM	14.776	0.035	13.857	0.034	13.269	0.036							gamma	LOW-G			young					
10061	SDSSp J003259.36+141036.6	J00325937+1410371	8.2473755	14.176972	2002ApJ...564..466G			L8	2002ApJ...564..466G	L8			VLM	16.83	0.169	15.648	0.142	14.946	0.109																
10062	2MASS J00332386-1521309	J00332386-1521309	8.3494167	-15.358583	2003AJ....125.3302G	L4beta	2009AJ....137.3345C	L1	2010ApJ...715..561A	L4beta			VLM	15.286	0.056	14.208	0.051	13.41	0.039							beta	INT-G			young					
10063	2MASS J00335534-0908247	J00335534-0908247	8.4805832	-9.1401939	2004AJ....127.2856B			M7	2004AJ....127.2856B	M7			VLM	15.958	0.095	15.001	0.108	15.243	0.175																
10064	2MASS J00345157+0523050	J00345157+0523050	8.7148752	5.3847222	2004AJ....127.2856B			T6.5	2006ApJ...637.1067B	T6.5			VLM	15.535	0.045	15.443	0.082	16.243																	
10065	2MASSI J0034568-070601	J00345684-0706013	8.7368336	-7.1003609	2003AandA...403..929K	L3	2003AandA...403..929K			L3			VLM	15.531	0.06	14.566	0.042	13.942	0.065																
10066	LSPM J0035+3934	J00355161+3934466	8.9650412	39.579609				sdM7	BUR-NP	sdM7		sd	VLM	15.027	0.039	14.663	0.054	14.323	0.063											subdwarf					
10067	SDSS J003609.26+241343.3	J00360925+2413434	9.0385418	24.228724	2006AJ....131.2722C			L5.5	2006AJ....131.2722C	L5.5			VLM	17.033	0.203	16.108	0.205	15.657	0.195																
10068	2MASSW J0036159+182110	J00361617+1821104	9.0673752	18.35289	2000AJ....119..369R	L3.5	2000AJ....120..447K	L4+/-1	2004AJ....127.3553K	L3.5			VLM	12.466	0.027	11.588	0.029	11.058	0.021																
10069	SDSS J003843.99+134339.5	J00384397+13433950	9.6832085	13.727638	2002AJ....123.3409H	L1	2002AJ....123.3409H			L1			VLM	15.908	0.069	15.203	0.073	14.758	0.102																
10070	HD 3651B	J0039191+211516	9.8295822	21.254444	MUG06A			T7.5	2007ApJ...654..570L	T7.5			VLM	16.16	0.03	16.68	0.04	16.87	0.05											companion			Y	HD 3651A	"this companion was independently discovered by Luhman et al. (2007), companion to planet-host HD 3651, sep=43.07+/-0.08 at 289.97+/-0.11deg in June 2006 (Mugrauer et al. 2006).  Stated photometry on MKO system (Luhman et al. 2006). Burgasser (2006) has a near-IR spectral type of T8"
10071	WISE J004024.88+090054.8	J00402488+0900548	10.103666	9.0152225	2013ApJS..205....6M			T7	2013ApJS..205....6M	T7			VLM	16.5	0.12	16.54	0.27	15.74																	
10072	2MASS J00412179+3547133	J00412179+3547133	10.340792	35.787025	2004AJ....127.2856B	sdM9	2010ApJS..190..100K	sdL?	2004AJ....127.2856B	sdM9		sd	VLM	15.935	0.086	15.728	0.155	15.166	0.123											subdwarf					
10073	SDSS J004154.54+134135.5	J00415453+1341351	10.477208	13.693084	2002AJ....123.3409H	L0	2002AJ....123.3409H			L0			VLM	14.454	0.034	13.673	0.037	13.236	0.025											companion			Y	LP 465-70	companion to LP 465-70
10074	LHS 1135	J00433134+2054316	10.880583	20.908777		sdM6.5	2005PASP..117..676R			sdM6.5		sd	VLM	13.954	0.027	13.44	0.029	13.146	0.043											subdwarf					
10075	2MASS J00451330+1228538	J00451330+1228538	11.305416	12.48161	2010ApJS..190..100K			M8.5	2010ApJS..190..100K	M8.5			VLM	15.891	0.076	15.116	0.074	14.522	0.061																
10076	2MASSW J0045214+163445	J00452143+1634446	11.339292	16.579056	2003IAUS..211..197W	L2beta	2009AJ....137.3345C	L3.5	2003IAUS..211..197W	L2beta			VLM	13.059	0.022	12.059	0.035	11.366	0.021							beta	INT-G			young					
10077	WISE J004542.56+361139.1	J00454256+3611391	11.427334	36.194195	2013ApJS..205....6M			T5	2013ApJS..205....6M	T5			VLM	16.15	0.08	16.04	0.15	15.8	0.2																
10078	2MASS J00464841+0715177	J00464841+0715177	11.701708	7.2549167	2003IAUS..211..197W	L0::	2008AJ....136.1290R	L0 gamma	2015ApJS..219...33G	L0::			VLM	13.885	0.028	13.178	0.035	12.546	0.026							gamma	LOW-G	Beta Pictoris	2015ApJS..219...33G	young					
10079	WISEP J004701.06+680352.1	J00470106+6803521	11.754417	68.064476	GIZ12A	L7 pec	GIZ13B	L7 beta	2015ApJS..219...33G	L7 pec			VLM	15.6	0.07	13.97	0.04	13.05	0.03							beta	INT-G			young					
10080	WISE J004928.48+044059.9	J00492826+0440575	12.36775	4.6826386	2011ApJS..197...19K			L9	2011ApJS..197...19K	L9			VLM	15.854	0.067	14.674	0.068	14.17	0.066																
10081	WISE J004945.61+215120.0	J00494561+2151200	12.440042	21.855556	2013ApJS..205....6M			T8.5	2013ApJS..205....6M	T8.5			VLM	16.72	0.16	16.51		15.86																	
10082	2MASS J00501994-3322402	J00501994-3322402	12.583083	-33.377831	TIN05A			T7	2006ApJ...637.1067B	T7			VLM	15.928	0.07	15.838	0.191	15.241	0.185																
10083	SIPS J0050-1538	J00502444-1538184	12.601833	-15.638444	2005AandA...435..363D	L1:	2007AJ....133..439C			L1:			VLM	13.779	0.023	13.077	0.026	12.647	0.027																
10084	2MASSW J0051107-154417	J00511078-1544169	12.794916	-15.738028	2000AJ....120..447K	L3.5	2000AJ....120..447K			L3.5			VLM	15.277	0.05	14.164	0.048	13.466	0.039																
10085	2MASS J00521232+0012172	J00521232+0012172	13.051333	0.20477778	2008ApJ...676.1281M			L5	2011ApJ...732...56G	L5			VLM	16.361	0.108	15.561	0.134	15.457	0.157																suspected spectral binary
10086	NLTT 2914	J00524886+1712434	13.203584	17.212057				esdM5	2010ApJS..190..100K	esdM5		esd	VLM	15.785	0.068	15.314	0.104	15.134	0.116											subdwarf					
10087	2MASS J00531899-3631102	J00531899-3631102	13.329125	-36.519501	2008ApJ...689.1295K	L3.5	2008ApJ...689.1295K			L3.5			VLM	14.445	0.026	13.48	0.031	12.937	0.029																
10088	SDSSp J005406.55-003101.8	J00540654-00310180	13.52725	-0.51716667	2002AJ....123..458S	L1	2002AJ....123.3409H			L1			VLM	15.731	0.053	14.891	0.053	14.38	0.074																possible spectral binary
10089	2MASS J00550460-3052000	J00550460-3052000	13.769167	-30.866667		M8:				M8:			VLM	13.028	0.023	12.28	0.024	11.909	0.023																
10090	2MASS J00550564+0134365	J00550564+0134365	13.7735	1.5768055	CRU-NP	L6:				L6:			VLM	16.436	0.114	15.27	0.075	14.438	0.069								VL-G			young					
10091	2MASS J00552554+4130184	J00552554+4130184	13.856417	41.505112	2004AJ....127.2856B			M8	2004AJ....127.2856B	M8			VLM	15.808	0.084	14.963	0.082	14.985	0.113																
10092	2MASS J00554279+1301043	J00554279+1301043	13.928292	13.01786	2010ApJS..190..100K	M6	2010ApJS..190..100K	d/sdM7	2010ApJS..190..100K	M6		d/sd	VLM	15.81	0.071	15.16	0.086	14.828	0.09											subdwarf					
10093	LHS 1166	J00554418+2506235	13.934084	25.106527		sdM6.5	2005PASP..117..676R			sdM6.5		sd	VLM	14.259	0.027	13.777	0.032	13.573	0.036											subdwarf					
10094	SDSS J00570556-0846241	J00570556-0846241	14.273166	-8.7733612	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0			VLM	15.7	0.06	14.92	0.07	14.36	0.08																
10095	WISE J005757.63+201304.2	J00575764+2013040	14.490167	20.217779	2014ApJ...783..122K	sdL7	2014ApJ...783..122K	sdL7	2014ApJ...783..122K	sdL7		sd	VLM	16.317	0.095	15.449	0.088	14.974	0.134											sbinary subdwarf		Y			
10096	2MASS J00583814-1747311	J00583814-1747311	14.658916	-17.791971	2004AJ....127.2856B			M6	2004AJ....127.2856B	M6			VLM	15.942	0.094	15.742	0.167	15.473	0.224																
10097	2MASSW J0058425-065123	J00584253-0651239	14.677208	-6.8566389	2000AJ....120..447K	L0	2000AJ....120..447K	L0 beta	2015ApJS..219...33G	L0			VLM	14.311	0.026	13.444	0.03	12.904	0.033							beta	INT-G	Beta Pictoris	2015ApJS..219...33G	young					
10098	2MASS J0059106-003850	J0059106-003850	14.794168	-0.64722222	BUR-NP			WD?	BUR-NP	WD?			WD	15.695	0.07	15.594	0.119	15.187	0.164																
10099	2MASS J01002474+171127	J01002474+171127	15.103083	17.190832				esdM5:	2010ApJS..190..100K	esdM5:		esd	VLM	13.744	0.026	13.24	0.035	13.083	0.031											subdwarf					
10100	LSPM J0101+3521	J01012732+3521529	15.363832	35.364693				sdM6	BUR-NP	sdM6		sd	VLM	15.594	0.06	15.222	0.095	14.877	0.115											subdwarf					
10101	LHS 132	J0102510-373743	15.712501	-37.628609		M8				M8			VLM	11.13	0.023	10.479	0.024	10.069	0.021																
10102	2MASS J01030790+450929	J01030790+450929	15.782915	45.158058									VLM	13.687	0.021	12.944	0.029	12.435	0.025																
10103	SDSS J010311.51-004417.0	J01031151-0044170	15.797957	-0.73805559	2010MNRAS.404.1817Z	M9.5	2010MNRAS.404.1817Z			M9.5			VLM	14.29	0.04	13.62	0.04	13.17	0.04																
10104	Gl51	J01031971+6221557	15.832125	62.365471	LIP52A	M5V	KIR91A			M5V			VLM	8.611	0.027	8.014	0.023	7.718	0.02																
10105	2MASSI J0103320+193536	J01033203+1935361	15.883457	19.593361	2000AJ....120..447K	L6	2000AJ....120..447K	L5 beta	2015ApJS..219...33G	L6			VLM	16.288	0.08	14.897	0.056	14.149	0.059							beta	INT-G			young					
10106	2MASSI J0104075-005328	J01040750-0053283	16.03125	-0.89119446	2003IAUJD...8E..60B	L4.5	KIR-PC			L4.5			VLM	16.531	0.13	15.638	0.135	15.327	0.175																
10107	2MASS J01045111-3327380	J01045111-3327380	16.212959	-33.460556	2004AJ....127.2856B			M8	2004AJ....127.2856B	M8			VLM	15.955	0.1	15.769	0.162	14.825	0.128																
10108	0106+1448	J0106+1448	16.5	14.8				sd/esdM		sd/esdM		sd	VLM																	subdwarf					
10109	SDSS J010637.33+151855.0	J01063737+1518556	16.655708	15.315444	2010MNRAS.404.1817Z	M8.5	2010MNRAS.404.1817Z	M8 pec	2011ApJS..197...19K	M8.5			VLM	14.36	0.03	13.82	0.03	13.43	0.05																
10110	SDSS J01071600-1517570	J01071600-1517570	16.816668	-15.299167		M7				M7			VLM	13.337	0.022	12.709	0.022	12.277	0.023																
10111	SDSSp J010752.33+004156.1	J01075242+0041563	16.968416	0.69897223	2002ApJ...564..466G	L8	2002AJ....123.3409H	L6 beta	2015ApJS..219...33G	L8			VLM	15.824	0.058	14.512	0.039	13.709	0.044							beta	INT-G			young					
10112	SDSS J01084048+1347392	J01084048+1347392	17.168667	13.794223	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0			VLM	16.293	0.118	15.715	0.141	14.617																	
10113	2MASS J01090751+0625590	J01090751+0625590	17.281292	6.4330554	SKR-NP	L1.5	SKR-NP			L1.5			VLM	14.49																					
10114	LP 647-13	J0109511-034326	17.462917	-3.7238889	2003AJ....126.2421C	M9	2003AJ....126.2421C			M9			VLM	11.694	0.021	10.931	0.026	10.428	0.025																
10115	2MASS J01151621+3130061	J01151621+3130061	18.817541	31.501694	2004AJ....127.2856B			d/sdM8	2004AJ....127.2856B	d/sdM8		d/sd	VLM	15.95	0.11	15.66	0.18	15.02	0.17											subdwarf					
10116	LSPM J0115+2110	J01154538+2110347	18.939083	21.176306				sdM4	BUR-NP	sdM4		sd	VLM	15.869	0.068	15.257	0.093	15.315	0.136											subdwarf					
10117	2MASS J01165457-1357342	J01165457-1357342	19.227375	-13.959499	2008AJ....136.1290R	M9	2008AJ....136.1290R			M9			VLM	14.212	0.028	13.513	0.033	12.974	0.029																
10118	2MASS J01170586+1752568	J01170586+1752568	19.274416	17.882444	2010ApJS..190..100K	M9		M8	2010ApJS..190..100K	M9			VLM	14.136	0.03	13.424	0.037	12.932	0.028																
10119	2MASSI J0117474-340325	J01174748-3403258	19.447832	-34.057167	2003AJ....126.2421C	L2:	2003AJ....126.2421C			L2:			VLM	15.178	0.036	14.209	0.039	13.489	0.037								INT-G			young					
10120	SDSS J011912.22+240331.6	J01191207+2403317	19.800291	24.058805	2006AJ....131.2722C			T2	2006AJ....131.2722C	T2			VLM	17.017	0.184	15.953	0.155	17.042												sbinary		Y			
10121	SSSPM J0124-4240	J01235905-4240073	20.99604	-42.668697	2005AandA...440.1061L	M8	2008AJ....136.1290R	L2.5	2005AandA...440.1061L	M8			VLM	13.153	0.024	12.47	0.023	12.037	0.024																
10122	LSR J01253-4545	J01251802-4545310	21.325083	-45.75861				WD	2010ApJS..190..100K	WD			WD	15.111	0.041	14.837	0.055	14.906	0.102																
10123	2MASSI J0125369-343505	J01253689-3435049	21.403708	-34.584694	2003AandA...403..929K	L2	2003AandA...403..929K			L2			VLM	15.522	0.055	14.474	0.051	13.898	0.054								INT-G			young					
10124	2MASS J01262109+1428057	J01262109+14280569	21.587875	14.468222	2008ApJ...676.1281M			L6	2011ApJ...732...56G	L6			VLM	17.108	0.214	16.172	0.219	15.278	0.146								VL-G			young					
10125	2MASS J01273917+2805536	J01273917+2805536	21.91321	28.098223		M8.5				M8.5			VLM	14.04				12.86																	
10126	SDSS J012743.51+135420.9	J01274352+1354210	21.931334	13.905833	2002AJ....123.3409H	L5	2002AJ....123.3409H	L6+/-1	2004AJ....127.3553K	L5			VLM	16.829	0.166	15.899	0.147	15.43	0.157																
10127	2MASSW J0129122+351758	J01291221+3517580	22.300875	35.299442	1999ApJ...519..802K	L4	1999ApJ...519..802K			L4			VLM	16.779	0.159	15.343	0.093	14.696	0.08																
10128	2MASS J01303563-4445411A	J01303563-4445411	22.648458	-44.761417	2008AJ....136.1290R	M9	2008AJ....136.1290R			M9			VLM	14.065	0.029	13.39	0.031	12.869	0.032											binary	Y				
10129	2MASS J01303563-4445411B	J01303563-4445411	22.648458	-44.761417	2011AJ....141....7D			L6	2011AJ....141....7D	L6			VLM	17.28	0.06	16.13	0.1	15.34	0.05											binary	Y				
10130	WISE J01303879+3007134	J01303879+3007134	22.661625	30.12039				M4.5-M5?	FAH-NP	M4.5-M5?			VLM	16.164	0.097	15.338	0.113	15.061	0.114																
10131	LEHPM 1-1628	J01310412-5024543	22.767166	-50.415085	2004AandA...421..763P			esdM4	BUR-NP	esdM4		esd	VLM	14.136	0.029	13.709	0.034	13.459	0.038											subdwarf					
