SOURCE_KEY	NAME	DESIGNATION	RA	DEC	DISCOVERY_REFERENCE	OPT_TYPE	OPT_TYPE_REF	NIR_TYPE	NIR_TYPE_REF	LIT_TYPE	LIT_TYPE_REF	OBJECT_TYPE	J_2MASS	J_2MASS_E	H_2MASS	H_2MASS_E	KS_2MASS	KS_2MASS_E	JK_EXCESS	COLOR_EXTREMITY	LUMINOSITY_CLASS	METALLICITY_CLASS	GRAVITY_CLASS_OPTICAL	GRAVITY_CLASS_OPTICAL_REF	GRAVITY_CLASS_NIR	GRAVITY_CLASS_NIR_REF	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	BINARY_REF	SBINARY	SBINARY_REF	COMPANION_NAME	COMPANION_REF	SIMBAD_OTYPE	SIMBAD_NAME	SIMBAD_SPT	SIMBAD_SPT_REF	SIMBAD_SEP	PARALLAX	PARALLAX_E	PARALLEX_REF	DISTANCE_PHOT	DISTANCE_PHOT_E	DISTANCE	DISTANCE_E	MU	MU_E	MU_RA	MU_DEC	MU_REF	VTAN	VTAN_E	RV	RV_E	RV_REF	VSINI	VSINI_E	VSINI_REF	NOTE
10011	LHS 102A	J00043642-4044020	1.1517501	-40.733891		M3.5				M3.5		VLM	8.601	0.021	8.043	0.031	7.737	0.04											companion					LHS 102BC		Star	[BGM2011b] J072227.60-054038.3																								
10012	NLTT 184	J00054517+0723423	1.4382085	7.3950834	2010ApJS..190..100K	M4	2010ApJS..190..100K	sdM6	2010ApJS..190..100K	M4	2010ApJS..190..100K	VLM	14.812	0.035	14.345	0.063	14.031	0.063				sd							subdwarf							PM*	NLTT   184	sdM6	2010ApJS..190..100K									261.69		-19	-261	2005AJ....129.1483L									
10013	LEHPM 1-162	J00054768-2157176	1.4486667	-21.954889	2004AandA...421..763P	M8.5		M8	BUR-NP	M8.5	BUR-NP	VLM	13.274	0.025	12.617	0.024	12.201	0.03	-0.08						INT-G	SPL										brownD*	SSSPM J0006-2157	M8.5e	2005A&A...440.1061L									778.34	45.35	753	-197	2005A&A...435..363D									
10014	2MASSI J0006205-172051	J00062050-1720506	1.5854167	-17.347389	2003AandA...403..929K	L2.5	2003AandA...403..929K			L2.5	2003AandA...403..929K	VLM	15.662	0.065	14.646	0.059	14.01	0.052	0.18						FLD-G	SPL										brownD*	2MASS J00062050-1720506	L2.5	2009AJ....137....1F									36.24	24.76	-32	17	2009AJ....137....1F									
10015	WISE J000622.67-131955.2	J00062267-131955.2	1.5944583	-13.331944	2014ApJ...781....4L			L5 pec	2014ApJ...787..126L	L5 pec	2014ApJ...787..126L	VLM	16.67	0.13	15.55	0.11	15.12	0.13	0.04						VL-G	SPL										PM*	WISE J000622.67-131955.2											493.16	20.52	-245	-428	2014ApJ...781....4L									
10016	SDSS J000632.60+140606.4	J00063260+1406064	1.6358334	14.101778	2008AJ....135..785W	L1	2008AJ....135..785W			L1	2008AJ....135..785W	VLM	15.849	0.062	15.302	0.074	15.06	0.147	-0.14						FLD-G	SPL										brownD*	2MASS J00063258+1406064	L0	2008AJ....135..785W									80.65	12.73	77	24	2010MNRAS.404.1817Z			-99	39	2009yCat.2294....0A				
10017	SDSS J000646.81+151225.8	J00064681+1512258	1.6950417	15.207167	2010MNRAS.404.1817Z	L4::	2010MNRAS.404.1817Z			L4::	2010MNRAS.404.1817Z	VLM	16.22	0.09	15.25	0.08	14.81	0.12	-0.12						FLD-G	SPL										brownD*	2MASS J00064683+1512260	L4	2010MNRAS.404.1817Z									68.48	14.14	-60	-33	2010MNRAS.404.1817Z									
10018	SDSS J000649.16-085246.3	J00064916-0852463	1.7048334	-8.879528	2008AJ....135..785W	M9	2008AJ....135..785W	M9+T5	2012ApJ...757..110B	M9	2008AJ....135..785W	VLM	14.143	0.03	13.551	0.028	13.132	0.039	-0.06						FLD-G	SPL			sbinary companion binary	Y		Y		LP 704-48		SB*	2MASS J00064916-0852457	M9V	2011AJ....141...97W																4		2011AJ....141...97W				spectral binary
10019	2MASS J0007078-245804	J00070787-2458042	1.7827917	-24.967834	2007AJ....133..439C	M7	2007AJ....133..439C			M7	2007AJ....133..439C	VLM	13.115	0.024	12.447	0.024	12.06	0.023	0.09						INT-G	SPL										brownD*	2MASS J00070787-2458042	M7	2009AJ....137....1F									196.47	28.28	190	-50	2003A&A...397..575P									
10020	LEHPM 1-204	J00072422-3128350	1.8509166	-31.476389	2004AandA...421..763P			esdM4:	BUR-NP	esdM4:	BUR-NP	VLM	16.31	0.097	15.47	0.127	15.516	0.223				esd							subdwarf							PM*	2MASS J00072454-3128404											411.1	22.36	270	-310	2003A&A...397..575P									
10021	2MASS J00085931+2911521	J00085931+2911521	2.2471251	29.197805	2008AJ....136.1290R	M8.5	2008AJ....136.1290R	M8.5		M8.5	2008AJ....136.1290R	VLM	13.827	0.024	13.127	0.026	12.69	0.026	-0.01						FLD-G	SPL										brownD*	2MASS J00085931+2911521	M8.5	2008AJ....136.1290R									290	59.68	-149.36	-248.58	2010ApJS..190..100K									
10022	2MASS J00100009-2031122	J00100009-2031122	2.500375	-20.520056	2007AJ....133..439C	L0	2007AJ....133..439C			L0	2007AJ....133..439C	VLM	14.134	0.024	13.368	0.03	12.882	0.03	-0.06						FLD-G	SPL			blue							brownD*	2MASSI J0010001-203112	L0	2009AJ....137....1F									121.04	26.25	117	31	2008MNRAS.384.1399J									
10023	2MASS J0011094+514923	J0011094+514923	2.7891667	51.823055		galaxy?		galaxy?		galaxy?		GAL	16.678	0.141	15.513	0.121	14.648	0.085																																											
10024	LHS 1035	J00114208-2057129	2.9253335	-20.953585		sdM6	2005PASP..117..676R			sdM6	2005PASP..117..676R	VLM	13.348	0.024	12.848	0.025	12.515	0.026	-0.02			sd							subdwarf							PM*	LHS  1035	sdM6	2008ApJ...672.1153R									609.01	7.07	609	4	2003ApJ...582.1011S									
10025	2MASS J00115060-1523450	J00115060-1523450	2.9608333	-15.395833	2004AJ....127.2856B			M7	2004AJ....127.2856B	M7	2004AJ....127.2856B	VLM	15.94	0.08	15.71	0.14	15.31	0.14	-0.16						VL-G	SPL										brownD*	2MASS J00115060-1523450	M7.5Ve	2004AJ....127.2856B																						
10026	2MASSI J0013578-223520	J00135779-2235200	3.4907918	-22.58889	2003AandA...403..929K	L4	2003AandA...403..929K			L4	2003AandA...403..929K	VLM	15.775	0.065	14.595	0.062	14.036	0.051	-0.1						FLD-G	SPL										brownD*	2MASS J00135779-2235200	L4	2009AJ....137....1F									84.17	31.89	58	-61	2008MNRAS.390.1517C									
10027	WISE J001450.14-083823.1	J00145014-083823.1	3.7089167	-8.6397219	2014ApJ...781....4L			sdM9	2014ApJ...787..126L	sdM9	2014ApJ...787..126L	VLM	14.47	0.03	13.95	0.03	13.77	0.04	-0.41	BLUE		sd			INT-G	SPL			subdwarf							PM*	WISE J001450.14-083823.1									43.857	7.771	1475.85	14.87	1454	-253	2014ApJ...781....4L	306.8052865								
10028	2MASS J00145575-4844171	J00145575-4844171	3.7322917	-48.738083	2008ApJ...689.1295K	L2.5pec	2008ApJ...689.1295K			L2.5pec	2008ApJ...689.1295K	VLM	14.05	0.035	13.107	0.036	12.723	0.03	-0.2						FLD-G	SPL										brownD*	2MASS J00145575-4844171	L2.5	2009AJ....137....1F									895.57	14.42	851	279	2008MNRAS.390.1517C									
10029	2MASS J00150206+2959323	J00150206+2959323	3.7585835	29.992306	2010ApJS..190..100K	L7	2010ApJS..190..100K	L7.5pec	2010ApJS..190..100K	L7	2010ApJS..190..100K	VLM	16.158	0.081	15.226	0.084	14.482	0.073	-0.09						FLD-G	SPL			blue							brownD*	2MASS J00150206+2959323	L8.5	2014AJ....147...34S									500	89.69	428.58	-257.52	2010ApJS..190..100K									
10030	2MASSW J0015447+351603	J00154476+3516026	3.9364998	35.267387	2000AJ....120..447K	L2	2000AJ....120..447K			L2	2000AJ....120..447K	VLM	13.878	0.03	12.892	0.036	12.264	0.024	0.17						FLD-G	SPL										brownD*	2MASSW J0015447+351603	L2V	2000AJ....120..447K									259.62	22.8	83	-246	2008MNRAS.384.1399J			-37.35	0.16	2010ApJ...723..684B	10.23	2.55	2010ApJ...723..684B	
10031	SDSS J001608.44-004302.3	J00160843-00430209	4.0351253	-0.71722221	2004AJ....127.3553K			L5.5	2004AJ....127.3553K	L5.5	2004AJ....127.3553K	VLM	16.326	0.116	15.229	0.112	14.541	0.09	0.28						INT-G	SPL										Star	2MASS J00160844-0043021	L5.5	2004AJ....127.3553K																						
10032	2MASS J00163761+3448368	J00163761+3448368	4.1567087	34.810223	2010ApJS..190..100K			M8.5	2010ApJS..190..100K	M8.5	2010ApJS..190..100K	VLM	14.784	0.036	14.157	0.043	13.783	0.037	-0.01						FLD-G	SPL										Star	2MASS J00163761+3448368	M8.5	2010ApJS..190..100K									300	40.31	297.76	36.56	2010ApJS..190..100K									
10033	SDSS J001637.62-103911.2	J00163762-1039112	4.1567502	-10.653111	2008AJ....135..785W	L0	2008AJ....135..785W			L0	2008AJ....135..785W	VLM	15.455	0.052	14.78	0.069	14.533	0.096	0.08						FLD-G	SPL										brownD*	2MASS J00163762-1039106	L0	2008AJ....135..785W									267.18	77.79	-46.5	-263.1	2010AJ....139.1808S									
10034	2MASS J00165953-4056541	J00165953-4056541	4.2480421	-40.94836	2008ApJ...689.1295K	L3.5	2008ApJ...689.1295K			L3.5	2008ApJ...689.1295K	VLM	15.316	0.061	14.206	0.048	13.432	0.038	0.19						FLD-G	SPL										brownD*	2MASS J00165953-4056541	L5.5	2014AJ....147...34S									163.78	14.87	163	16	2008MNRAS.390.1517C									
10035	LSPM J0018+2853	J00180652+2853259	4.5271668	28.890528				sdM6	BUR-NP	sdM6	BUR-NP	VLM	16.195	0.084	15.623	0.11	15.492	0.195				sd							subdwarf							PM*	2MASS J00180652+2853259											538		538	0	2005AJ....129.1483L									
10036	SDSS J001911.65+003017.8	J00191165+0030176	4.7985415	0.50488889	2002AJ....123.3409H	L1	2002AJ....123.3409H			L1	2002AJ....123.3409H	VLM	14.921	0.037	14.18	0.041	13.568	0.034	0.06						FLD-G	SPL										brownD*	2MASS J00191165+0030176	L1	2002AJ....123.3409H									38.29	21.1	-29	-25	2008MNRAS.384.1399J									
10037	2MASS J00193927-3724392	J00193927-3724392	4.9136248	-37.410889	2008AJ....136.1290R	L3:		L3: beta	2015ApJS..219...33G	L3:	2015ApJS..219...33G	VLM	15.519	0.06	14.47	0.04	13.689	0.058	0.16				beta		INT-G	OTHER	Field	2015ApJS..219...33G	young							IR	2MASS J00193927-3724392	L3.5	2010ApJ...710.1142B																						
10038	2MASS J0019457+521317	J0019457+521317	4.9404168	52.22139	2003AJ....126.2421C	M9	2003AJ....126.2421C			M9	2003AJ....126.2421C	VLM	12.792	0.023	12.072	0.024	11.622	0.019	0.08						FLD-G	SPL										brownD*	2MASSI J0019457+521317	M9	2007AJ....133.2258S									290.27	200.38	271	-104	2007AJ....133.2258S			-29.1	3	2009ApJ...705.1416R				
10039	DENIS-P J0020.9-4414	J00205982-4414340	5.2492504	-44.242779	1998AandA...338.1066T	M8V	1998AandA...338.1066T			M8V	1998AandA...338.1066T	VLM	14.9	0.039	14.2	0.041	13.714	0.055	-0.11						FLD-G	SPL										Star	DENIS-P J0020.9-4414																								
10040	LEHPM 1-494B	J00210589-4244433	5.2745419	-42.745361	1998AandA...338.1066T	M9.5	2000ApJ...538..363B			M9.5	2000ApJ...538..363B	VLM	13.521	0.025	12.809	0.025	12.304	0.025	-0.02						FLD-G	SPL	Field	2015ApJS..219...33G	companion					LEHPM 1-494A		brownD*	2MASS J00210589-4244433	M9.5V			39.77	2.1	2014AJ....147...94D			25.145	1.328	250.65	10.3	250	18	2003AJ....125..984M	29.87346114	1.998504497							
10041	SDSS J00220934-0110397	J00220934-0110397	5.5389166	-1.1776944	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0	2010AJ....139.1808S	VLM	15.82	0.07	15.09	0.08	14.7	0.1	0						FLD-G	SPL			young							brownD*	2MASS J00220932-0110399	M9V	2011AJ....141...97W																						young?
10042	2MASS J00234750-3239250	J00234750-3239250	5.9479165	-32.656944		M7				M7		VLM	12.619	0.022	11.961	0.024	11.632	0.023	-0.02																	brownD*	2MASSI J0023475-323925	M7																							
10043	BRI 0021-0214	J00242514-0158166	6.1047502	-1.9712778	IRW91B	M9.5	2007AJ....133..439C			M9.5	2007AJ....133..439C	VLM	11.992	0.035	11.084	0.022	10.539	0.023	-0.01						FLD-G	SPL										BYDra	V* DY Psc	M9.5V	2001ApJ...548..908L		80	3.4	2009ApJ...704..975J			12.5	0.531	211.52	28.28	-136	162	2003ApJ...582.1011S	12.5324605	1.758449395	10.4	3	2009ApJ...705.1416R				
10044	2MASS J00250365+4759191AB	J00250365+4759191	6.2652078	47.98864	2007AJ....133..439C	L4:	2007AJ....133..439C			L4:	2007AJ....133..439C	VLM	14.84	0.038	13.667	0.031	12.902	0.057	0.29						FLD-G	SPL			binary companion	Y				HD 2057		brownD*	2MASSI J0025036+475919	L4	2009AJ....137....1F		23.69	1.08	2012ApJ...752...56F			42.212	1.924	312.13	58.8	312	-9	2009AJ....137....1F	62.45230732	12.10383871							"binary: a=0.33 at -126.9 deg (Reid et al. 2006).  This object shares a common proper motion with HD 2057, which is 3.6 arcmin away. (Cruz et al. 2006)"
10045	LHS 1074	J00255117-0748069	6.4632082	-7.8019171		sdM6	2005PASP..117..676R			sdM6	2005PASP..117..676R	VLM	14.684	0.043	14.231	0.042	13.879	0.058				sd							subdwarf							PM*	LHS  1074	sdM6	2008ApJ...672.1153R									802.32	7.07	383	-705	2003ApJ...582.1011S									
10046	LHS 1075	J0026004-191851	6.5016665	-19.314165		dC				dC		CARBON	12.54	0.024	11.918	0.026	11.587	0.027																		C*	[BEM91] 22	C	1991AJ....101.2220B									610.3	141.42	19	-610	2002ApJS..141..187B									
10047	2MASS J00264045+0632151	J00264045+0632159	6.6685414	6.5377498	SKR-NP	L1	SKR-NP			L1	SKR-NP	VLM	14.572	0.033	13.752	0.035	13.22	0.038	-0.05						FLD-G	SPL																																			
10048	LEHPM 1-606	J00271049-1813083	6.7937083	-18.218973	2004AandA...421..763P			M8	BUR-NP	M8	BUR-NP	VLM	13.448	0.022	12.847	0.025	12.427	0.025	0						INT-G	SPL										PM*	2MASS J00271090-1813097											417.73	28.28	410	-80	2003A&A...397..575P									
10049	PC 0025+04	J00274197+0503417	6.9248748	5.0615835		M9.5	1995AJ....109..797K	L0	2010ApJ...715..561A	M9.5	1995AJ....109..797K	VLM	16.189	0.093	15.288	0.099	14.964	0.116	0.05						INT-G	OTHER			young							brownD*	2MASS J00274197+0503417	M9.5	2009A&A...503..639T		13.8	1.6	2002AJ....124.1170D			72.464	8.402	10.53	0.5	10.5	-0.8	2009AJ....137....1F	3.6169745	0.453162896							
10050	LP 349-25A	J0027559+221932	6.9829168	22.325556		M8:	2000AJ....120.1085G			M8:	2000AJ....120.1085G	VLM	10.614	0.022	9.967	0.023	9.569	0.017	0.01						INT-G	SPL										brownD*	LP  349-25	M8Ve	2003AJ....126.3007R									430.16	50.16	396	-168	2007AJ....133.2258S			-15.8	1.9	2012AJ....144...99D	48.1	6	2012AJ....144...99D	
10051	2MASS J0028208+224905	J0028208+224905	7.0866666	22.818056	2008AJ....136.1290R			L5 beta	2015ApJS..219...33G	L5 beta	2015ApJS..219...33G	VLM	15.607	0.072	14.468	0.053	13.781	0.063	0.06				beta		INT-G	OTHER			young							brownD*	2MASS J00282091+2249050	L7:	2010ApJ...710.1142B																						
10052	2MASSI J0028394+150141	J00283943+1501418	7.1642914	15.028277	2000AJ....120..447K	L4.5	2000AJ....120..447K	L3	2004AJ....127.3553K	L4.5	2000AJ....120..447K	VLM	16.507	0.109	15.256	0.088	14.556	0.074	0.27						INT-G	SPL										brownD*	2MASSI J0028394+150141	L4.5V	2000AJ....120..447K																						
10053	2MASS J00285545-1927165	J00285545-1927165	7.2310414	-19.454584	2008AJ....136.1290R	L0:	2008AJ....136.1290R			L0:	2008AJ....136.1290R	VLM	14.191	0.029	13.331	0.03	12.845	0.03	0.06						FLD-G	SPL										brownD*	2MASS J00285545-1927165	L0:	2008AJ....136.1290R									104.58	28.38	99.5	32.2	2010AJ....139.1808S									
10054	2MASSW J0030300-145033	J00303013-1450333	7.6255417	-14.842583	2000AJ....120..447K	L7	2000AJ....120..447K	L5 beta	2015ApJS..219...33G	L7	2000AJ....120..447K	VLM	16.278	0.111	15.273	0.1	14.481	0.1	0.2				beta		INT-G	OTHER	ARG	2015ApJS..219...33G	young							brownD*	2MASSW J0030300-145033	L7V	2000AJ....120..447K		37.42	4.5	2012ApJ...752...56F			26.724	3.214	246.59	4.47	245	-28	2009AJ....137....1F	31.23622117	3.798835112							
10055	2MASSW J0030438+313932	J00304384+3139321	7.6826663	31.658916	1999ApJ...519..802K	L2	1999ApJ...519..802K			L2	1999ApJ...519..802K	VLM	15.48	0.054	14.617	0.057	14.027	0.048	0.08						FLD-G	SPL										brownD*	2MASSW J0030438+313932	L2	2009AJ....137....1F									75.17	21.26	-49	-57	2008MNRAS.384.1399J									
10056	WISE J003110.04+574936.3	J00311004+5749363	7.7918334	57.826748	2013PASP..125..809T			L8	2013PASP..125..809T	L8	2013PASP..125..809T	VLM	14.95	0.04	13.78	0.04	13.22	0.03	0.03																	brownD*	2MASS J00310928+5749364	L9	2013ApJ...777...84B									530.09	14.14	530	-10	2013PASP..125..809T									
10057	SIPS J0031-3840	J00311925-3840356	7.8302083	-38.676556	2005AandA...435..363D	L2.5	2010AandA...517A..53M	L2	2005AandA...435..363D	L2.5	2010AandA...517A..53M	VLM	14.101	0.032	13.399	0.023	12.924	0.034	-0.16						FLD-G	SPL			blue																																
10058	2MASS J00320509+0219017	J00320509+0219017	8.0212088	2.3171389	2008AJ....136.1290R	L1.5	2008AJ....136.1290R	M9	2003IAUS..211..197W	L1.5	2008AJ....136.1290R	VLM	14.324	0.026	13.386	0.024	12.802	0.032	0.12						FLD-G	SPL										brownD*	2MASS J00320509+0219017	L1.5	2008AJ....136.1290R									520.8	21.4	417	-312	2008MNRAS.384.1399J									
10059	2MASSI J0032431-223727	J00324308-2237272	8.1795006	-22.624222	2003AandA...403..929K	L1	2003AandA...403..929K			L1	2003AandA...403..929K	VLM	15.388	0.049	14.512	0.047	13.962	0.051	-0.18						FLD-G	SPL										brownD*	2MASS J00324308-2237272	L1	2009AJ....137....1F									116.73	30.89	115	20	2008MNRAS.384.1399J									
10060	EROS-MP J0032-4405	J00325584-4405058	8.232667	-44.084942	1999AandA...351L...5E	L0gamma	2009AJ....137.3345C	L0 vlg	2010ApJ...715..561A	L0gamma	2009AJ....137.3345C	VLM	14.776	0.035	13.857	0.034	13.269	0.036	0.15				gamma		LOW-G	OTHER			young							brownD*	EROS-MP J0032-4405	L0:	2008AJ....136.1290R		38.4	4.8	2012ApJ...752...56F			26.042	3.255	158.7	4.53	128.3	-93.4	2013AJ....146..161M	19.58904901	2.511784987							
10061	SDSSp J003259.36+141036.6	J00325937+1410371	8.2473755	14.176972	2002ApJ...564..466G			L8	2002ApJ...564..466G	L8	2002ApJ...564..466G	VLM	16.83	0.169	15.648	0.142	14.946	0.109	0.09																	brownD*	2MASS J00325937+1410371	L9	2014AJ....147...34S		30.14	5.16	2012ApJ...752...56F			33.179	5.68	275.77	8.06	273	39	2009AJ....137....1F	43.36952872	7.532389815							
10062	2MASS J00332386-1521309	J00332386-1521309	8.3494167	-15.358583	2003AJ....125.3302G	L4beta	2009AJ....137.3345C	L1	2010ApJ...715..561A	L4beta	2009AJ....137.3345C	VLM	15.286	0.056	14.208	0.051	13.41	0.039	0.29				beta		INT-G	OTHER			young							brownD*	2MASS J00332386-1521309	L4	2009AJ....137....1F									333.19	27.2	330	46	2008MNRAS.390.1517C									
10063	2MASS J00335534-0908247	J00335534-0908247	8.4805832	-9.1401939	2004AJ....127.2856B			M7	2004AJ....127.2856B	M7	2004AJ....127.2856B	VLM	15.958	0.095	15.001	0.108	15.243	0.175	-0.1						INT-G	SPL										brownD*	2MASS J00335534-0908247	M8Ve:	2004AJ....127.2856B																						
10064	2MASS J00345157+0523050	J00345157+0523050	8.7148752	5.3847222	2004AJ....127.2856B			T6.5	2006ApJ...637.1067B	T6.5	2006ApJ...637.1067B	VLM	15.535	0.045	15.443	0.082	16.243		-0.09																	brownD*	2MASS J00345157+0523050	T6.5	2009AJ....137....1F		105.4	7.5	2012ApJ...752...56F			9.488	0.675	683.21	8.63	658.8	181	2012ApJ...752...56F	30.72508726	2.220483417							
10065	2MASSI J0034568-070601	J00345684-0706013	8.7368336	-7.1003609	2003AandA...403..929K	L3	2003AandA...403..929K			L3	2003AandA...403..929K	VLM	15.531	0.06	14.566	0.042	13.942	0.065	0.22						FLD-G	SPL										brownD*	2MASS J00345684-0706013	L3	2009AJ....137....1F									256.02	25.81	215	-139	2008MNRAS.390.1517C									
10066	LSPM J0035+3934	J00355161+3934466	8.9650412	39.579609				sdM7	BUR-NP	sdM7	BUR-NP	VLM	15.027	0.039	14.663	0.054	14.323	0.063	-0.09			sd			VL-G	SPL			subdwarf							PM*	LP  241-35											407.15		407	11	2005AJ....129.1483L									
10067	SDSS J003609.26+241343.3	J00360925+2413434	9.0385418	24.228724	2006AJ....131.2722C			L5.5	2006AJ....131.2722C	L5.5	2006AJ....131.2722C	VLM	17.033	0.203	16.108	0.205	15.657	0.195	0.06						FLD-G	SPL										brownD*	2MASS J00360925+2413434	L6	2014AJ....147...34S									48.57	67.74	26.5	-40.7	2010AJ....139.1808S									
10068	2MASSW J0036159+182110	J00361617+1821104	9.0673752	18.35289	2000AJ....119..369R	L3.5	2000AJ....120..447K	L4+/-1	2004AJ....127.3553K	L3.5	2000AJ....120..447K	VLM	12.466	0.027	11.588	0.029	11.058	0.021	-0.03						FLD-G	SPL										brownD*	LSPM J0036+1821	L3.5	2000AJ....119..369R		114.2	0.8	2012ApJ...752...56F			8.757	0.061	889.58	60.41	883	108	2007AJ....133.2258S	36.92303265	2.520565287	19.02	0.15	2010ApJ...723..684B	35.12	0.57	2010ApJ...723..684B	
10069	SDSS J003843.99+134339.5	J00384397+13433950	9.6832085	13.727638	2002AJ....123.3409H	L1	2002AJ....123.3409H			L1	2002AJ....123.3409H	VLM	15.908	0.069	15.203	0.073	14.758	0.102	-0.06						FLD-G	SPL										brownD*	2MASS J00384398+1343395	L1	2002AJ....123.3409H									76.01	17.89	64	-41	2008MNRAS.384.1399J									
